"Genotype.x","Year.x","TrainSequence.x","TrainSessionCombo.x","ID.x","TrainGroup.x","NumShock.x","NumEntrances.x","TimeTarget.x","Time1stEntr.x","Time1stShock.x","ID.y","TrainGroup.y","NumShock.y","NumEntrances.y","TimeTarget.y","Time1stEntr.y","Time1stShock.y"
"WT","2016","train-train","T1","16-357A","yoked",0,0,74.799,599.97,599.97,"16-124A","trained",15,12,17.399,6.27,6.27
"WT","2016","train-train","T2","16-357A","yoked",0,0,87.734,599.97,599.97,"16-124A","trained",5,4,7.833,15.2,15.2
"WT","2016","train-train","T3","16-357A","yoked",0,0,98.032,599.97,599.97,"16-124A","trained",2,2,2.233,34.67,34.67
"WT","2016","train-train","Retest","16-357A","yoked",0,0,52.071,599.97,599.97,"16-124A","trained",1,1,1.034,324.3,324.3
"WT","2016","train-train","T4_C1","16-357A","yoked",0,0,62.135,599.97,599.97,"16-124A","trained",4,4,3.468,40.1,40.1
"WT","2016","train-train","T5_C2","16-357A","yoked",0,0,92.602,599.97,599.97,"16-124A","trained",1,1,0.6,385.53,385.53
"WT","2016","train-train","T6_C3","16-357A","yoked",0,0,76.131,599.97,599.97,"16-124A","trained",2,2,1.834,107.5,107.5
"WT","2016","train-train","T1","16-357B","yoked",0,0,118.435,599.97,599.97,"16-124B","trained",16,13,16.333,4,4
"WT","2016","train-train","T2","16-357B","yoked",0,0,100.001,599.97,599.97,"16-124B","trained",7,7,8.299,28.3,28.3
"WT","2016","train-train","T3","16-357B","yoked",0,0,111.799,599.97,599.97,"16-124B","trained",3,3,3.1,15.27,15.27
"WT","2016","train-train","Retest","16-357B","yoked",0,0,100.101,599.97,599.97,"16-124B","trained",13,12,15.201,12.17,12.17
"WT","2016","train-train","T4_C1","16-357B","yoked",0,0,85.501,599.97,599.97,"16-124B","trained",13,11,16.1,7.37,7.37
"WT","2016","train-train","T5_C2","16-357B","yoked",0,0,113.499,599.97,599.97,"16-124B","trained",11,11,13.865,49.67,49.67
"WT","2016","train-train","T6_C3","16-357B","yoked",0,0,79.933,599.97,599.97,"16-124B","trained",12,11,14.964,0.53,0.53
"WT","2016","train-conflict","T1","16-357D","yoked",0,0,45.632,599.97,599.97,"16-125D","trained",15,14,14.665,28.83,28.83
"WT","2016","train-conflict","T2","16-357D","yoked",0,0,37.466,599.97,599.97,"16-125D","trained",5,5,5.168,10.6,10.6
"WT","2016","train-conflict","T3","16-357D","yoked",0,0,73.465,599.97,599.97,"16-125D","trained",4,4,3.967,45.8,45.8
"WT","2016","train-conflict","Retest","16-357D","yoked",0,0,64.001,599.97,599.97,"16-125D","trained",2,2,2.001,97.7,97.7
"WT","2016","train-conflict","T4_C1","16-357D","yoked",0,0,144.732,599.97,599.97,"16-125D","trained",23,20,29.2,0.53,0.53
"WT","2016","train-conflict","T5_C2","16-357D","yoked",0,0,113.533,599.97,599.97,"16-125D","trained",2,2,1.999,0.53,0.53
"WT","2016","train-conflict","T6_C3","16-357D","yoked",0,0,113.831,599.97,599.97,"16-125D","trained",3,3,3.968,102.23,102.23
"FMR1-KO","2016","train-train","T2","16-121A","yoked",2,2,1.433,25.8,25.8,"16-121B","trained",62,15,125.264,2.87,2.87
"FMR1-KO","2016","train-conflict","Retest","16-118D","yoked",5,4,10.8,124,124,"16-118C","trained",10,10,12.833,12.5,12.5
"FMR1-KO","2016","train-train","T1","16-121A","yoked",9,8,8.065,41,41,"16-121B","trained",35,13,64.668,14.17,14.17
"WT","2015","train-conflict","T3","15142B","yoked",15,5,33,94.37,94.37,"15142A","trained",2,2,2.798,94.27,94.27
"WT","2015","train-conflict","T2","15142B","yoked",16,3,32.301,11.73,11.73,"15142A","trained",4,3,4.434,8.17,8.17
"WT","2015","train-conflict","T5_C2","15142B","yoked",16,7,31.368,1.03,1.03,"15142A","trained",3,3,3.067,5.1,5.1
"WT","2015","train-conflict","Retest","15142B","yoked",17,6,73.032,88.6,88.6,"15142A","trained",0,0,0.067,599.97,599.97
"WT","2016","train-train","T6_C3","16-126B","yoked",17,6,37.767,33.4,33.4,"16-126A","trained",10,9,10.966,22.03,22.03
"WT","2015","train-conflict","T4_C1","15147B","yoked",18,10,37.068,22.73,22.73,"15147A","trained",15,14,15.033,3.4,3.4
"WT","2016","train-train","T2","16-125B","yoked",21,8,48.606,38.37,38.37,"16-125A","trained",7,4,10.334,24.63,24.63
"WT","2015","train-train","T3","15140D","yoked",22,8,41.531,66.5,66.5,"15140C","trained",8,6,10.334,4.27,4.27
"WT","2016","train-train","T5_C2","16-125B","yoked",22,8,46.53,88.3,88.3,"16-125A","trained",25,14,41.269,32.53,32.53
"WT","2016","train-conflict","T5_C2","16-123D","yoked",23,8,42.368,16.87,16.87,"16-123C","trained",3,3,5.001,412.03,412.03
"WT","2015","train-train","T2","15143D","yoked",24,8,54.271,82.33,82.33,"15143C","trained",3,3,2.499,25.37,25.37
"WT","2016","train-train","T1","16-123B","yoked",24,8,48.565,16.67,16.67,"16-123A","trained",6,6,6.598,7.77,7.77
"WT","2016","train-train","Retention","16-357A","yoked",24,11,46.502,190.3,190.3,"16-124A","trained",6,4,10.7,289.83,289.83
"WT","2016","train-conflict","Retention","16-122D","yoked",24,14,45.3,31.5,31.5,"16-122C","trained",28,8,57.97,226.77,226.77
"FMR1-KO","2016","train-conflict","T5_C2","16-116D","yoked",24,11,44.036,0.53,0.53,"16-116C","trained",6,5,7.498,2.2,2.2
"WT","2015","train-train","T4_C1","15146D","yoked",25,12,54.497,46.2,46.2,"15146C","trained",13,13,10.632,49.37,49.37
"WT","2016","train-train","T1","16-126B","yoked",25,7,52.768,42.5,42.5,"16-126A","trained",6,6,9.799,6.97,6.97
"FMR1-KO","2016","train-train","T4_C1","16-119B","yoked",26,10,44.332,69.37,69.37,"16-119A","trained",2,2,1.267,113.4,113.4
"WT","2015","train-train","T3","15141D","yoked",27,11,57.465,43.47,43.47,"15141C","trained",11,10,9.433,32,32
"WT","2016","train-train","T6_C3","16-125B","yoked",27,9,58.83,23.87,23.87,"16-125A","trained",2,2,1.533,46,46
"FMR1-KO","2016","train-train","T2","16-117B","yoked",28,12,53.668,114.03,114.03,"16-117A","trained",15,14,15.533,24.13,24.13
"WT","2016","train-train","Retest","16-125B","yoked",29,10,66.133,94.67,94.67,"16-125A","trained",10,7,18.299,224.3,224.3
"WT","2015","train-conflict","T2","15140B","yoked",30,9,57.765,31.1,31.1,"15140A","trained",3,2,3.366,118.37,118.37
"FMR1-KO","2016","train-train","T5_C2","16-119B","yoked",30,15,54.199,9.43,9.43,"16-119A","trained",1,1,1.033,84.33,84.33
"FMR1-KO","2016","train-train","T6_C3","16-119B","yoked",30,11,57.666,19.63,19.63,"16-119A","trained",1,1,0.633,410.23,410.23
"FMR1-KO","2016","train-conflict","T1","16-120D","yoked",30,10,55.367,27.73,27.73,"16-120C","trained",17,12,22.5,5.87,5.87
"WT","2015","train-conflict","T5_C2","15140B","yoked",31,15,58.601,31.03,31.03,"15140A","trained",6,5,7.334,170.4,170.4
"WT","2015","train-conflict","T4_C1","15142B","yoked",31,10,64.264,9.63,9.63,"15142A","trained",7,7,8.499,33.77,33.77
"WT","2015","train-conflict","T2","15144B","yoked",31,10,60.734,1.57,1.57,"15144A","trained",4,4,4.2,7.7,7.7
"WT","2016","train-train","T3","16-125B","yoked",31,11,59.232,0.53,0.53,"16-125A","trained",16,7,27.566,206.63,206.63
"WT","2016","train-train","T4_C1","16-125B","yoked",31,14,69.431,29.9,29.9,"16-125A","trained",17,9,38.631,63.23,63.23
"WT","2015","train-train","T2","15140D","yoked",32,12,55.268,33.7,33.7,"15140C","trained",7,7,5.766,9.8,9.8
"WT","2015","train-train","T4_C1","15140D","yoked",32,15,79.828,53.23,53.23,"15140C","trained",3,3,4.5,257.83,257.83
"WT","2015","train-conflict","T6_C3","15140B","yoked",32,9,62.799,61.77,61.77,"15140A","trained",2,2,1.633,428.83,428.83
"WT","2015","train-conflict","Retention","15147B","yoked",32,10,60.599,19.57,19.57,"15147A","trained",30,14,50.534,18.8,18.8
"WT","2016","train-train","T2","16-126B","yoked",32,10,75.002,31.77,31.77,"16-126A","trained",9,8,14.097,15.7,15.7
"FMR1-KO","2016","train-train","Retest","16-119B","yoked",32,12,61.933,20.37,20.37,"16-119A","trained",5,5,4.632,111.77,111.77
"WT","2015","train-conflict","Retention","15140B","yoked",33,12,59.036,65.8,65.8,"15140A","trained",9,4,16.466,102.43,102.43
"WT","2015","train-conflict","T+_C+","15142B","yoked",33,13,63.598,12.83,12.83,"15142A","trained",1,1,0.667,353.27,353.27
"WT","2015","train-conflict","T4_C1","15144B","yoked",33,14,67.968,12.07,12.07,"15144A","trained",26,23,27.469,7.73,7.73
"FMR1-KO","2016","train-conflict","Hab","16-120D","yoked",33,15,59.164,9.87,9.87,"16-120C","trained",49,30,83.837,1.1,1.1
"WT","2015","train-train","Retest","15140D","yoked",34,15,83.503,14.97,14.97,"15140C","trained",10,7,12.901,17.57,17.57
"WT","2015","train-train","T6_C3","15141D","yoked",34,13,75.6,41.1,41.1,"15141C","trained",12,12,6,3.13,3.13
"WT","2015","train-conflict","T1","15148D","yoked",34,16,55.166,11.07,11.07,"15148C","trained",7,7,6.666,0.87,0.87
"WT","2016","train-conflict","T6_C3","16-122D","yoked",34,13,64.164,4.2,4.2,"16-122C","trained",3,3,2.401,79.53,79.53
"FMR1-KO","2016","train-conflict","T4_C1","16-116D","yoked",34,14,63.132,4.33,4.33,"16-116C","trained",17,16,18.464,0.53,0.53
"WT","2015","train-conflict","T4_C1","15143B","yoked",35,12,66.133,44.8,44.8,"15143A","trained",14,12,16.098,0.5,0.5
"WT","2016","train-train","T3","16-123B","yoked",35,15,67.567,35.6,35.6,"16-123A","trained",8,7,9.033,90.07,90.07
"FMR1-KO","2016","train-train","T3","16-121A","yoked",35,11,65.596,42,42,"16-121B","trained",4,4,3.433,82.53,82.53
"FMR1-KO","2016","train-conflict","Retest","16-120D","yoked",35,12,64.532,36.9,36.9,"16-120C","trained",2,2,1.634,380.9,380.9
"WT","2015","train-train","T5_C2","15141D","yoked",36,16,69.502,28.77,28.77,"15141C","trained",7,7,3.901,0.33,0.33
"WT","2015","train-conflict","Retention","15145B","yoked",36,14,68.462,20.17,20.17,"15145A","trained",0,0,0,600,600
"WT","2016","train-conflict","T2","16-123D","yoked",36,14,65.331,2.57,2.57,"16-123C","trained",10,10,8.765,0.87,0.87
"WT","2016","train-conflict","Retention","16-123D","yoked",36,12,75.467,16.63,16.63,"16-123C","trained",1,1,0.9,248.2,248.2
"FMR1-KO","2016","train-conflict","T2","16-120D","yoked",37,12,69.366,12.07,12.07,"16-120C","trained",5,5,6.1,57,57
"WT","2015","train-train","T1","15142D","yoked",38,12,97.802,58.43,58.43,"15142C","trained",5,5,4.998,5.43,5.43
"WT","2015","train-train","T2","15146D","yoked",38,14,70.431,34.27,34.27,"15146C","trained",1,1,0.767,327.4,327.4
"WT","2015","train-conflict","Hab","15141B","yoked",38,25,78.835,16.63,16.63,"15141A","trained",46,30,87.6,10.73,10.73
"WT","2015","train-conflict","Retention","15142B","yoked",38,12,77.468,157.7,157.7,"15142A","trained",6,3,11.268,140.2,140.2
"WT","2015","train-conflict","T4_C1","15148D","yoked",38,17,71.634,3.2,3.2,"15148C","trained",33,32,27.201,18.17,18.17
"WT","2016","train-train","T3","16-126B","yoked",38,17,72.367,86.57,86.57,"16-126A","trained",25,15,39.234,22.77,22.77
"WT","2016","train-train","T5_C2","16-126B","yoked",38,13,77.367,6.33,6.33,"16-126A","trained",21,19,25.229,14.63,14.63
"FMR1-KO","2016","train-train","T3","16-119B","yoked",38,14,76.733,64,64,"16-119A","trained",6,6,5.499,63.97,63.97
"FMR1-KO","2016","train-conflict","T+_C+","16-116D","yoked",38,13,75.793,1.97,1.97,"16-116C","trained",2,2,1.967,234.1,234.1
"FMR1-KO","2016","train-conflict","T2","16-118D","yoked",38,12,73.298,40.87,40.87,"16-118C","trained",2,1,2.233,430.8,430.8
"WT","2015","train-train","T5_C2","15142D","yoked",39,8,77.899,21.1,21.1,"15142C","trained",0,0,0,599.97,599.97
"WT","2015","train-train","T2","15147D","yoked",39,16,78.605,22.9,22.9,"15147C","trained",2,2,1.267,82.37,82.37
"WT","2015","train-conflict","T3","15148B","yoked",39,15,75.198,24.8,24.8,"15148A","trained",1,1,0.6,69.07,69.07
"WT","2016","train-conflict","T1","16-122D","yoked",39,14,73.333,20.8,20.8,"16-122C","trained",10,9,15.4,15.97,15.97
"WT","2016","train-conflict","T1","16-123D","yoked",39,13,75.937,24.7,24.7,"16-123C","trained",9,9,10.366,2.77,2.77
"FMR1-KO","2016","train-train","Retest","16-117B","yoked",39,11,75.834,28.33,28.33,"16-117A","trained",4,3,5.368,169.5,169.5
"WT","2015","train-conflict","T1","15141B","yoked",40,21,115.171,90.93,90.93,"15141A","trained",6,6,6.631,2.57,2.57
"WT","2015","train-conflict","T4_C1","15145B","yoked",40,18,73.268,14.57,14.57,"15145A","trained",29,27,30.201,0.53,0.53
"WT","2015","train-conflict","T4_C1","15148B","yoked",40,15,70.166,41,41,"15148A","trained",24,17,28.402,6.43,6.43
"WT","2015","train-conflict","T5_C2","15148D","yoked",40,15,76.501,13.13,13.13,"15148C","trained",28,28,20.163,15,15
"WT","2016","train-conflict","Hab","16-357D","yoked",40,16,78.162,0.53,0.53,"16-125D","trained",48,24,92.371,1.73,1.73
"FMR1-KO","2016","train-train","Hab","16-121A","yoked",40,27,67.602,6.83,6.83,"16-121B","trained",54,20,109.735,15.5,15.5
"WT","2015","train-train","Retention","15140D","yoked",41,14,82.302,48.93,48.93,"15140C","trained",0,0,0.833,599.97,599.97
"WT","2015","train-train","T5_C2","15143D","yoked",41,15,85.102,6.83,6.83,"15143C","trained",1,1,1.233,18.77,18.77
"WT","2015","train-conflict","Retest","15148D","yoked",41,13,83.668,90.47,90.47,"15148C","trained",4,4,2.932,226.2,226.2
"WT","2015","train-conflict","Retention","15148D","yoked",41,13,83.498,9.2,9.2,"15148C","trained",37,9,78.035,21.37,21.37
"WT","2016","train-train","Hab","16-125B","yoked",41,24,80.033,0.5,0.5,"16-125A","trained",51,31,88.169,0.53,0.53
"WT","2016","train-conflict","Hab","16-122D","yoked",41,21,81.099,31.67,31.67,"16-122C","trained",81,30,155.166,3.77,3.77
"WT","2016","train-conflict","T4_C1","16-123D","yoked",41,13,87.433,13.33,13.33,"16-123C","trained",8,8,7.601,147.67,147.67
"WT","2016","train-conflict","T+_C+","16-123D","yoked",42,13,87.634,10.43,10.43,"16-123C","trained",3,3,2.633,408.67,408.67
"FMR1-KO","2016","train-train","T1","16-119B","yoked",42,18,74.032,0.53,0.53,"16-119A","trained",10,8,12.565,3.9,3.9
"WT","2015","train-train","T5_C2","15146D","yoked",43,12,85.434,12.07,12.07,"15146C","trained",4,4,3.633,24.37,24.37
"WT","2015","train-conflict","T6_C3","15146B","yoked",43,11,85.67,0.53,0.53,"15146A","trained",1,1,1.133,372.7,372.7
"WT","2015","train-conflict","Retention","15146B","yoked",43,11,86,16.8,16.8,"15146A","trained",0,0,0,599.97,599.97
"WT","2016","train-train","Retention","16-126B","yoked",43,22,81.434,1,1,"16-126A","trained",16,8,28.432,110.43,110.43
"WT","2016","train-conflict","Retention","16-122D","yoked",43,23,81.301,26.53,26.53,"16-122C","trained",14,3,27.135,196.97,196.97
"WT","2016","train-conflict","T2","16-124D","yoked",43,14,84.831,89.47,89.47,"16-124C","trained",3,3,2.332,19.93,19.93
"FMR1-KO","2016","train-train","T3","16-117B","yoked",43,13,93.167,36.57,36.57,"16-117A","trained",7,5,8.067,64.37,64.37
"FMR1-KO","2016","train-train","T5_C2","16-121A","yoked",43,14,77.332,166.5,166.5,"16-121B","trained",3,3,2.933,241.93,241.93
"FMR1-KO","2016","train-conflict","T3","16-120D","yoked",43,10,82.134,11.17,11.17,"16-120C","trained",2,2,2.134,46.63,46.63
"WT","2015","train-train","T1","15146D","yoked",44,17,89.267,5.53,5.53,"15146C","trained",5,5,4.668,5.63,5.63
"WT","2015","train-conflict","Retest","15146B","yoked",44,13,84.732,0.53,0.53,"15146A","trained",1,1,0.533,400.37,400.37
"WT","2015","train-conflict","T6_C3","15147B","yoked",44,11,83.533,62.93,62.93,"15147A","trained",9,9,7.869,32.03,32.03
"WT","2015","train-conflict","Retention","15148B","yoked",44,11,89.331,45.93,45.93,"15148A","trained",40,11,73.8,75.37,75.37
"FMR1-KO","2016","train-train","T4_C1","16-117B","yoked",44,10,83.935,130.57,130.57,"16-117A","trained",2,2,2.334,66.53,66.53
"FMR1-KO","2016","train-train","T5_C2","16-117B","yoked",44,15,86.304,10.57,10.57,"16-117A","trained",2,2,1.666,23.77,23.77
"FMR1-KO","2016","train-conflict","Retest","16-116D","yoked",44,17,81.401,0.53,0.53,"16-116C","trained",2,2,2.2,125.43,125.43
"FMR1-KO","2016","train-conflict","T6_C3","16-116D","yoked",44,13,77.737,19.27,19.27,"16-116C","trained",2,2,1.932,0.53,0.53
"FMR1-KO","2016","train-conflict","T1","16-118D","yoked",44,10,86.333,18,18,"16-118C","trained",5,5,3.632,9.43,9.43
"WT","2016","train-train","Retention","16-126B","yoked",45,18,86.768,16.43,16.43,"16-126A","trained",39,12,73.571,3.33,3.33
"WT","2016","train-train","T4_C1","16-126B","yoked",45,19,87.235,64.6,64.6,"16-126A","trained",6,6,10.268,13.63,13.63
"FMR1-KO","2016","train-train","Retest","16-116B","yoked",45,17,91.267,6.3,6.3,"16-116A","trained",9,8,10.732,26.97,26.97
"FMR1-KO","2016","train-train","Retention","16-119B","yoked",45,18,89.866,4.63,4.63,"16-119A","trained",1,1,1.867,442.87,442.87
"FMR1-KO","2016","train-conflict","T+_C+","16-116D","yoked",45,16,78.634,22.23,22.23,"16-116C","trained",2,2,3.199,379.93,379.93
"WT","2016","train-conflict","T6_C3","16-124D","yoked",46,16,83.767,0.53,0.53,"16-124C","trained",14,13,14.531,0.53,0.53
"FMR1-KO","2016","train-conflict","Retention","16-116D","yoked",46,20,84.732,0.53,0.53,"16-116C","trained",15,6,25.601,83.9,83.9
"WT","2015","train-train",NA,"15141D","yoked",47,16,109.634,4.8,4.8,NA,NA,NA,NA,NA,NA,NA
"WT","2015","train-train","T4_C1","15141D","yoked",47,14,95.93,48.2,48.2,"15141C","trained",10,10,8.064,39.7,39.7
"WT","2015","train-train","T4_C1","15142D","yoked",47,12,90.399,54.77,54.77,"15142C","trained",0,0,0,599.97,599.97
"WT","2015","train-train","T3","15146D","yoked",47,12,99.1,33.03,33.03,"15146C","trained",1,1,0.6,526.87,526.87
"WT","2015","train-conflict","T3","15146B","yoked",47,12,96.832,29.87,29.87,"15146A","trained",1,1,0.901,473.43,473.43
"WT","2015","train-conflict","T1","15147B","yoked",47,17,96.338,2.4,2.4,"15147A","trained",6,5,6.132,4.33,4.33
"WT","2016","train-train","T2","16-123B","yoked",47,14,90.033,120.27,120.27,"16-123A","trained",20,13,33.266,48.3,48.3
"WT","2016","train-train","Hab","16-357A","yoked",47,25,88.733,0.57,0.57,"16-124A","trained",68,32,125.202,10.77,10.77
"WT","2016","train-conflict","T3","16-122D","yoked",47,20,86.2,13.53,13.53,"16-122C","trained",20,14,30.034,0.53,0.53
"WT","2016","train-conflict","T4_C1","16-122D","yoked",47,17,87.535,13.7,13.7,"16-122C","trained",9,7,10.402,5.03,5.03
"WT","2016","train-conflict","T6_C3","16-123D","yoked",47,17,86.035,23.63,23.63,"16-123C","trained",23,20,25.233,74.33,74.33
"FMR1-KO","2016","train-train","T1","16-117B","yoked",47,11,89.433,7.23,7.23,"16-117A","trained",8,8,8.601,5.17,5.17
"FMR1-KO","2016","train-conflict","T3","16-116D","yoked",47,15,91.399,2.47,2.47,"16-116C","trained",2,2,1.533,57.43,57.43
"WT","2015","train-train","T6_C3","15140D","yoked",48,14,103.202,36.43,36.43,"15140C","trained",0,0,0,599.97,599.97
"WT","2015","train-train","T+_C+","15140D","yoked",48,20,106.401,0.67,0.67,"15140C","trained",3,2,4.934,201.37,201.37
"WT","2015","train-train","T2","15141D","yoked",48,19,109.302,16.23,16.23,"15141C","trained",19,19,18.398,33.1,33.1
"WT","2015","train-train","T2","15142D","yoked",48,16,98.433,9.6,9.6,"15142C","trained",1,1,0.7,454.63,454.63
"WT","2015","train-conflict","T2","15145B","yoked",48,16,105.634,77.8,77.8,"15145A","trained",2,2,3.867,51.63,51.63
"WT","2015","train-conflict","T5_C2","15147B","yoked",48,15,88.767,10.83,10.83,"15147A","trained",5,5,4.965,13.63,13.63
"FMR1-KO","2016","train-train","Hab","16-119B","yoked",48,25,87.033,12.33,12.33,"16-119A","trained",52,36,87.091,4.3,4.3
"FMR1-KO","2016","train-train","T4_C1","16-121A","yoked",48,16,88.464,0.53,0.53,"16-121B","trained",6,6,4.965,0.83,0.83
"WT","2015","train-train","T1","15143D","yoked",49,26,92.534,2.13,2.13,"15143C","trained",10,10,9.198,4.13,4.13
"WT","2015","train-train","Retention","15146D","yoked",49,12,106.564,37.03,37.03,"15146C","trained",4,2,11.1,83.33,83.33
