"yoked","trained.x","ID.x","Genotype.x","APA.x","Year.x","TrainGroup.x","TrainSequence.x","TrainSessionCombo.x","NumShock.x","NumEntrances.x","TimeTarget.x","Time1stEntr.x","Time1stShock.x","entranceshockequal.x","firstentranceshockequal.x","trained.y","ID.y","Genotype.y","APA.y","Year.y","TrainGroup.y","TrainSequence.y","TrainSessionCombo.y","NumShock.y","NumEntrances.y","TimeTarget.y","Time1stEntr.y","Time1stShock.y","entranceshockequal.y","firstentranceshockequal.y"
"16-357A_T1_1","16-124A_T1_1","16-357A","WT","yoked_trained","2016","yoked","train-train","T1",0,0,74.799,599.97,599.97,"equal","equal","16-124A_T1_1","16-124A","WT","trained_trained","2016","trained","train-train","T1",15,12,17.399,6.27,6.27,"not equal","equal"
"16-357A_T2_1","16-124A_T2_1","16-357A","WT","yoked_trained","2016","yoked","train-train","T2",0,0,87.734,599.97,599.97,"equal","equal","16-124A_T2_1","16-124A","WT","trained_trained","2016","trained","train-train","T2",5,4,7.833,15.2,15.2,"not equal","equal"
"16-357A_T3_1","16-124A_T3_1","16-357A","WT","yoked_trained","2016","yoked","train-train","T3",0,0,98.032,599.97,599.97,"equal","equal","16-124A_T3_1","16-124A","WT","trained_trained","2016","trained","train-train","T3",2,2,2.233,34.67,34.67,"equal","equal"
"16-357A_Retest_2","16-124A_Retest_2","16-357A","WT","yoked_trained","2016","yoked","train-train","Retest",0,0,52.071,599.97,599.97,"equal","equal","16-124A_Retest_2","16-124A","WT","trained_trained","2016","trained","train-train","Retest",1,1,1.034,324.3,324.3,"equal","equal"
"16-357A_T4_C1_2","16-124A_T4_C1_2","16-357A","WT","yoked_trained","2016","yoked","train-train","T4_C1",0,0,62.135,599.97,599.97,"equal","equal","16-124A_T4_C1_2","16-124A","WT","trained_trained","2016","trained","train-train","T4_C1",4,4,3.468,40.1,40.1,"equal","equal"
"16-357A_T5_C2_2","16-124A_T5_C2_2","16-357A","WT","yoked_trained","2016","yoked","train-train","T5_C2",0,0,92.602,599.97,599.97,"equal","equal","16-124A_T5_C2_2","16-124A","WT","trained_trained","2016","trained","train-train","T5_C2",1,1,0.6,385.53,385.53,"equal","equal"
"16-357A_T6_C3_2","16-124A_T6_C3_2","16-357A","WT","yoked_trained","2016","yoked","train-train","T6_C3",0,0,76.131,599.97,599.97,"equal","equal","16-124A_T6_C3_2","16-124A","WT","trained_trained","2016","trained","train-train","T6_C3",2,2,1.834,107.5,107.5,"equal","equal"
"16-357B_T1_1","16-124B_T1_1","16-357B","WT","yoked_trained","2016","yoked","train-train","T1",0,0,118.435,599.97,599.97,"equal","equal","16-124B_T1_1","16-124B","WT","trained_trained","2016","trained","train-train","T1",16,13,16.333,4,4,"not equal","equal"
"16-357B_T2_1","16-124B_T2_1","16-357B","WT","yoked_trained","2016","yoked","train-train","T2",0,0,100.001,599.97,599.97,"equal","equal","16-124B_T2_1","16-124B","WT","trained_trained","2016","trained","train-train","T2",7,7,8.299,28.3,28.3,"equal","equal"
"16-357B_T3_1","16-124B_T3_1","16-357B","WT","yoked_trained","2016","yoked","train-train","T3",0,0,111.799,599.97,599.97,"equal","equal","16-124B_T3_1","16-124B","WT","trained_trained","2016","trained","train-train","T3",3,3,3.1,15.27,15.27,"equal","equal"
"16-357B_Retest_2","16-124B_Retest_2","16-357B","WT","yoked_trained","2016","yoked","train-train","Retest",0,0,100.101,599.97,599.97,"equal","equal","16-124B_Retest_2","16-124B","WT","trained_trained","2016","trained","train-train","Retest",13,12,15.201,12.17,12.17,"not equal","equal"
"16-357B_T4_C1_2","16-124B_T4_C1_2","16-357B","WT","yoked_trained","2016","yoked","train-train","T4_C1",0,0,85.501,599.97,599.97,"equal","equal","16-124B_T4_C1_2","16-124B","WT","trained_trained","2016","trained","train-train","T4_C1",13,11,16.1,7.37,7.37,"not equal","equal"
"16-357B_T5_C2_2","16-124B_T5_C2_2","16-357B","WT","yoked_trained","2016","yoked","train-train","T5_C2",0,0,113.499,599.97,599.97,"equal","equal","16-124B_T5_C2_2","16-124B","WT","trained_trained","2016","trained","train-train","T5_C2",11,11,13.865,49.67,49.67,"equal","equal"
"16-357B_T6_C3_2","16-124B_T6_C3_2","16-357B","WT","yoked_trained","2016","yoked","train-train","T6_C3",0,0,79.933,599.97,599.97,"equal","equal","16-124B_T6_C3_2","16-124B","WT","trained_trained","2016","trained","train-train","T6_C3",12,11,14.964,0.53,0.53,"not equal","equal"
"16-357D_T1_1","16-125D_T1_1","16-357D","WT","yoked_conflict","2016","yoked","train-conflict","T1",0,0,45.632,599.97,599.97,"equal","equal","16-125D_T1_1","16-125D","WT","trained_conflict","2016","trained","train-conflict","T1",15,14,14.665,28.83,28.83,"not equal","equal"
"16-357D_T2_1","16-125D_T2_1","16-357D","WT","yoked_conflict","2016","yoked","train-conflict","T2",0,0,37.466,599.97,599.97,"equal","equal","16-125D_T2_1","16-125D","WT","trained_conflict","2016","trained","train-conflict","T2",5,5,5.168,10.6,10.6,"equal","equal"
"16-357D_T3_1","16-125D_T3_1","16-357D","WT","yoked_conflict","2016","yoked","train-conflict","T3",0,0,73.465,599.97,599.97,"equal","equal","16-125D_T3_1","16-125D","WT","trained_conflict","2016","trained","train-conflict","T3",4,4,3.967,45.8,45.8,"equal","equal"
"16-357D_Retest_2","16-125D_Retest_2","16-357D","WT","yoked_conflict","2016","yoked","train-conflict","Retest",0,0,64.001,599.97,599.97,"equal","equal","16-125D_Retest_2","16-125D","WT","trained_conflict","2016","trained","train-conflict","Retest",2,2,2.001,97.7,97.7,"equal","equal"
"16-357D_T4_C1_2","16-125D_T4_C1_2","16-357D","WT","yoked_conflict","2016","yoked","train-conflict","T4_C1",0,0,144.732,599.97,599.97,"equal","equal","16-125D_T4_C1_2","16-125D","WT","trained_conflict","2016","trained","train-conflict","T4_C1",23,20,29.2,0.53,0.53,"not equal","equal"
"16-357D_T5_C2_2","16-125D_T5_C2_2","16-357D","WT","yoked_conflict","2016","yoked","train-conflict","T5_C2",0,0,113.533,599.97,599.97,"equal","equal","16-125D_T5_C2_2","16-125D","WT","trained_conflict","2016","trained","train-conflict","T5_C2",2,2,1.999,0.53,0.53,"equal","equal"
"16-357D_T6_C3_2","16-125D_T6_C3_2","16-357D","WT","yoked_conflict","2016","yoked","train-conflict","T6_C3",0,0,113.831,599.97,599.97,"equal","equal","16-125D_T6_C3_2","16-125D","WT","trained_conflict","2016","trained","train-conflict","T6_C3",3,3,3.968,102.23,102.23,"equal","equal"
"16-121A_T2_1","16-121B_T2_1","16-121A","FMR1-KO","yoked_trained","2016","yoked","train-train","T2",2,2,1.433,25.8,25.8,"equal","equal","16-121B_T2_1","16-121B","FMR1-KO","trained_trained","2016","trained","train-train","T2",62,15,125.264,2.87,2.87,"not equal","equal"
"16-118D_Retest_2","16-118C_Retest_2","16-118D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","Retest",5,4,10.8,124,124,"not equal","equal","16-118C_Retest_2","16-118C","FMR1-KO","trained_conflict","2016","trained","train-conflict","Retest",10,10,12.833,12.5,12.5,"equal","equal"
"16-121A_T1_1","16-121B_T1_1","16-121A","FMR1-KO","yoked_trained","2016","yoked","train-train","T1",9,8,8.065,41,41,"not equal","equal","16-121B_T1_1","16-121B","FMR1-KO","trained_trained","2016","trained","train-train","T1",35,13,64.668,14.17,14.17,"not equal","equal"
"15142B_T3_1","15142A_T3_1","15142B","WT","yoked_conflict","2015","yoked","train-conflict","T3",15,5,33,94.37,94.37,"not equal","equal","15142A_T3_1","15142A","WT","trained_conflict","2015","trained","train-conflict","T3",2,2,2.798,94.27,94.27,"equal","equal"
"15142B_T2_1","15142A_T2_1","15142B","WT","yoked_conflict","2015","yoked","train-conflict","T2",16,3,32.301,11.73,11.73,"not equal","equal","15142A_T2_1","15142A","WT","trained_conflict","2015","trained","train-conflict","T2",4,3,4.434,8.17,8.17,"not equal","equal"
"15142B_T5_C2_2","15142A_T5_C2_2","15142B","WT","yoked_conflict","2015","yoked","train-conflict","T5_C2",16,7,31.368,1.03,1.03,"not equal","equal","15142A_T5_C2_2","15142A","WT","trained_conflict","2015","trained","train-conflict","T5_C2",3,3,3.067,5.1,5.1,"equal","equal"
"15142B_Retest_2","15142A_Retest_2","15142B","WT","yoked_conflict","2015","yoked","train-conflict","Retest",17,6,73.032,88.6,88.6,"not equal","equal","15142A_Retest_2","15142A","WT","trained_conflict","2015","trained","train-conflict","Retest",0,0,0.067,599.97,599.97,"equal","equal"
"16-126B_T6_C3_2","16-126A_T6_C3_2","16-126B","WT","yoked_trained","2016","yoked","train-train","T6_C3",17,6,37.767,33.4,33.4,"not equal","equal","16-126A_T6_C3_2","16-126A","WT","trained_trained","2016","trained","train-train","T6_C3",10,9,10.966,22.03,22.03,"not equal","equal"
"15147B_T4_C1_2","15147A_T4_C1_2","15147B","WT","yoked_conflict","2015","yoked","train-conflict","T4_C1",18,10,37.068,22.73,22.73,"not equal","equal","15147A_T4_C1_2","15147A","WT","trained_conflict","2015","trained","train-conflict","T4_C1",15,14,15.033,3.4,3.4,"not equal","equal"
"16-125B_T2_1","16-125A_T2_1","16-125B","WT","yoked_trained","2016","yoked","train-train","T2",21,8,48.606,38.37,38.37,"not equal","equal","16-125A_T2_1","16-125A","WT","trained_trained","2016","trained","train-train","T2",7,4,10.334,24.63,24.63,"not equal","equal"
"15140D_T3_1","15140C_T3_1","15140D","WT","yoked_trained","2015","yoked","train-train","T3",22,8,41.531,66.5,66.5,"not equal","equal","15140C_T3_1","15140C","WT","trained_trained","2015","trained","train-train","T3",8,6,10.334,4.27,4.27,"not equal","equal"
"16-125B_T5_C2_2","16-125A_T5_C2_2","16-125B","WT","yoked_trained","2016","yoked","train-train","T5_C2",22,8,46.53,88.3,88.3,"not equal","equal","16-125A_T5_C2_2","16-125A","WT","trained_trained","2016","trained","train-train","T5_C2",25,14,41.269,32.53,32.53,"not equal","equal"
"16-123D_T5_C2_2","16-123C_T5_C2_2","16-123D","WT","yoked_conflict","2016","yoked","train-conflict","T5_C2",23,8,42.368,16.87,16.87,"not equal","equal","16-123C_T5_C2_2","16-123C","WT","trained_conflict","2016","trained","train-conflict","T5_C2",3,3,5.001,412.03,412.03,"equal","equal"
"15143D_T2_1","15143C_T2_1","15143D","WT","yoked_trained","2015","yoked","train-train","T2",24,8,54.271,82.33,82.33,"not equal","equal","15143C_T2_1","15143C","WT","trained_trained","2015","trained","train-train","T2",3,3,2.499,25.37,25.37,"equal","equal"
"16-123B_T1_1","16-123A_T1_1","16-123B","WT","yoked_trained","2016","yoked","train-train","T1",24,8,48.565,16.67,16.67,"not equal","equal","16-123A_T1_1","16-123A","WT","trained_trained","2016","trained","train-train","T1",6,6,6.598,7.77,7.77,"equal","equal"
"16-357A_Retention_3","16-124A_Retention_3","16-357A","WT","yoked_trained","2016","yoked","train-train","Retention",24,11,46.502,190.3,190.3,"not equal","equal","16-124A_Retention_3","16-124A","WT","trained_trained","2016","trained","train-train","Retention",6,4,10.7,289.83,289.83,"not equal","equal"
"16-122D_Retention_2","16-122C_Retention_2","16-122D","WT","yoked_conflict","2016","yoked","train-conflict","Retention",24,14,45.3,31.5,31.5,"not equal","equal","16-122C_Retention_2","16-122C","WT","trained_conflict","2016","trained","train-conflict","Retention",28,8,57.97,226.77,226.77,"not equal","equal"
"16-116D_T5_C2_2","16-116C_T5_C2_2","16-116D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","T5_C2",24,11,44.036,0.53,0.53,"not equal","equal","16-116C_T5_C2_2","16-116C","FMR1-KO","trained_conflict","2016","trained","train-conflict","T5_C2",6,5,7.498,2.2,2.2,"not equal","equal"
"15146D_T4_C1_2","15146C_T4_C1_2","15146D","WT","yoked_trained","2015","yoked","train-train","T4_C1",25,12,54.497,46.2,46.2,"not equal","equal","15146C_T4_C1_2","15146C","WT","trained_trained","2015","trained","train-train","T4_C1",13,13,10.632,49.37,49.37,"equal","equal"
"16-126B_T1_1","16-126A_T1_1","16-126B","WT","yoked_trained","2016","yoked","train-train","T1",25,7,52.768,42.5,42.5,"not equal","equal","16-126A_T1_1","16-126A","WT","trained_trained","2016","trained","train-train","T1",6,6,9.799,6.97,6.97,"equal","equal"
"16-119B_T4_C1_2","16-119A_T4_C1_2","16-119B","FMR1-KO","yoked_trained","2016","yoked","train-train","T4_C1",26,10,44.332,69.37,69.37,"not equal","equal","16-119A_T4_C1_2","16-119A","FMR1-KO","trained_trained","2016","trained","train-train","T4_C1",2,2,1.267,113.4,113.4,"equal","equal"
"15141D_T3_1","15141C_T3_1","15141D","WT","yoked_trained","2015","yoked","train-train","T3",27,11,57.465,43.47,43.47,"not equal","equal","15141C_T3_1","15141C","WT","trained_trained","2015","trained","train-train","T3",11,10,9.433,32,32,"not equal","equal"
"16-125B_T6_C3_2","16-125A_T6_C3_2","16-125B","WT","yoked_trained","2016","yoked","train-train","T6_C3",27,9,58.83,23.87,23.87,"not equal","equal","16-125A_T6_C3_2","16-125A","WT","trained_trained","2016","trained","train-train","T6_C3",2,2,1.533,46,46,"equal","equal"
"16-117B_T2_1","16-117A_T2_1","16-117B","FMR1-KO","yoked_trained","2016","yoked","train-train","T2",28,12,53.668,114.03,114.03,"not equal","equal","16-117A_T2_1","16-117A","FMR1-KO","trained_trained","2016","trained","train-train","T2",15,14,15.533,24.13,24.13,"not equal","equal"
"16-125B_Retest_2","16-125A_Retest_2","16-125B","WT","yoked_trained","2016","yoked","train-train","Retest",29,10,66.133,94.67,94.67,"not equal","equal","16-125A_Retest_2","16-125A","WT","trained_trained","2016","trained","train-train","Retest",10,7,18.299,224.3,224.3,"not equal","equal"
"15140B_T2_1","15140A_T2_1","15140B","WT","yoked_conflict","2015","yoked","train-conflict","T2",30,9,57.765,31.1,31.1,"not equal","equal","15140A_T2_1","15140A","WT","trained_conflict","2015","trained","train-conflict","T2",3,2,3.366,118.37,118.37,"not equal","equal"
"16-119B_T5_C2_2","16-119A_T5_C2_2","16-119B","FMR1-KO","yoked_trained","2016","yoked","train-train","T5_C2",30,15,54.199,9.43,9.43,"not equal","equal","16-119A_T5_C2_2","16-119A","FMR1-KO","trained_trained","2016","trained","train-train","T5_C2",1,1,1.033,84.33,84.33,"equal","equal"
"16-119B_T6_C3_2","16-119A_T6_C3_2","16-119B","FMR1-KO","yoked_trained","2016","yoked","train-train","T6_C3",30,11,57.666,19.63,19.63,"not equal","equal","16-119A_T6_C3_2","16-119A","FMR1-KO","trained_trained","2016","trained","train-train","T6_C3",1,1,0.633,410.23,410.23,"equal","equal"
"16-120D_T1_1","16-120C_T1_1","16-120D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","T1",30,10,55.367,27.73,27.73,"not equal","equal","16-120C_T1_1","16-120C","FMR1-KO","trained_conflict","2016","trained","train-conflict","T1",17,12,22.5,5.87,5.87,"not equal","equal"
"15140B_T5_C2_2","15140A_T5_C2_2","15140B","WT","yoked_conflict","2015","yoked","train-conflict","T5_C2",31,15,58.601,31.03,31.03,"not equal","equal","15140A_T5_C2_2","15140A","WT","trained_conflict","2015","trained","train-conflict","T5_C2",6,5,7.334,170.4,170.4,"not equal","equal"
"15142B_T4_C1_2","15142A_T4_C1_2","15142B","WT","yoked_conflict","2015","yoked","train-conflict","T4_C1",31,10,64.264,9.63,9.63,"not equal","equal","15142A_T4_C1_2","15142A","WT","trained_conflict","2015","trained","train-conflict","T4_C1",7,7,8.499,33.77,33.77,"equal","equal"
"15144B_T2_1","15144A_T2_1","15144B","WT","yoked_conflict","2015","yoked","train-conflict","T2",31,10,60.734,1.57,1.57,"not equal","equal","15144A_T2_1","15144A","WT","trained_conflict","2015","trained","train-conflict","T2",4,4,4.2,7.7,7.7,"equal","equal"
"16-125B_T3_1","16-125A_T3_1","16-125B","WT","yoked_trained","2016","yoked","train-train","T3",31,11,59.232,0.53,0.53,"not equal","equal","16-125A_T3_1","16-125A","WT","trained_trained","2016","trained","train-train","T3",16,7,27.566,206.63,206.63,"not equal","equal"
"16-125B_T4_C1_2","16-125A_T4_C1_2","16-125B","WT","yoked_trained","2016","yoked","train-train","T4_C1",31,14,69.431,29.9,29.9,"not equal","equal","16-125A_T4_C1_2","16-125A","WT","trained_trained","2016","trained","train-train","T4_C1",17,9,38.631,63.23,63.23,"not equal","equal"
"15140D_T2_1","15140C_T2_1","15140D","WT","yoked_trained","2015","yoked","train-train","T2",32,12,55.268,33.7,33.7,"not equal","equal","15140C_T2_1","15140C","WT","trained_trained","2015","trained","train-train","T2",7,7,5.766,9.8,9.8,"equal","equal"
"15140D_T4_C1_2","15140C_T4_C1_2","15140D","WT","yoked_trained","2015","yoked","train-train","T4_C1",32,15,79.828,53.23,53.23,"not equal","equal","15140C_T4_C1_2","15140C","WT","trained_trained","2015","trained","train-train","T4_C1",3,3,4.5,257.83,257.83,"equal","equal"
"15140B_T6_C3_2","15140A_T6_C3_2","15140B","WT","yoked_conflict","2015","yoked","train-conflict","T6_C3",32,9,62.799,61.77,61.77,"not equal","equal","15140A_T6_C3_2","15140A","WT","trained_conflict","2015","trained","train-conflict","T6_C3",2,2,1.633,428.83,428.83,"equal","equal"
"15147B_Retention_3","15147A_Retention_3","15147B","WT","yoked_conflict","2015","yoked","train-conflict","Retention",32,10,60.599,19.57,19.57,"not equal","equal","15147A_Retention_3","15147A","WT","trained_conflict","2015","trained","train-conflict","Retention",30,14,50.534,18.8,18.8,"not equal","equal"
"16-126B_T2_1","16-126A_T2_1","16-126B","WT","yoked_trained","2016","yoked","train-train","T2",32,10,75.002,31.77,31.77,"not equal","equal","16-126A_T2_1","16-126A","WT","trained_trained","2016","trained","train-train","T2",9,8,14.097,15.7,15.7,"not equal","equal"
"16-119B_Retest_2","16-119A_Retest_2","16-119B","FMR1-KO","yoked_trained","2016","yoked","train-train","Retest",32,12,61.933,20.37,20.37,"not equal","equal","16-119A_Retest_2","16-119A","FMR1-KO","trained_trained","2016","trained","train-train","Retest",5,5,4.632,111.77,111.77,"equal","equal"
"15140B_Retention_3","15140A_Retention_3","15140B","WT","yoked_conflict","2015","yoked","train-conflict","Retention",33,12,59.036,65.8,65.8,"not equal","equal","15140A_Retention_3","15140A","WT","trained_conflict","2015","trained","train-conflict","Retention",9,4,16.466,102.43,102.43,"not equal","equal"
"15142B_T+_C+_2","15142A_T+_C+_2","15142B","WT","yoked_conflict","2015","yoked","train-conflict","T+_C+",33,13,63.598,12.83,12.83,"not equal","equal","15142A_T+_C+_2","15142A","WT","trained_conflict","2015","trained","train-conflict","T+_C+",1,1,0.667,353.27,353.27,"equal","equal"
"15144B_T4_C1_2","15144A_T4_C1_2","15144B","WT","yoked_conflict","2015","yoked","train-conflict","T4_C1",33,14,67.968,12.07,12.07,"not equal","equal","15144A_T4_C1_2","15144A","WT","trained_conflict","2015","trained","train-conflict","T4_C1",26,23,27.469,7.73,7.73,"not equal","equal"
"16-120D_Hab_1","16-120C_Hab_1","16-120D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","Hab",33,15,59.164,9.87,9.87,"not equal","equal","16-120C_Hab_1","16-120C","FMR1-KO","trained_conflict","2016","trained","train-conflict","Hab",49,30,83.837,1.1,1.1,"not equal","equal"
"15140D_Retest_2","15140C_Retest_2","15140D","WT","yoked_trained","2015","yoked","train-train","Retest",34,15,83.503,14.97,14.97,"not equal","equal","15140C_Retest_2","15140C","WT","trained_trained","2015","trained","train-train","Retest",10,7,12.901,17.57,17.57,"not equal","equal"
"15141D_T6_C3_2","15141C_T6_C3_2","15141D","WT","yoked_trained","2015","yoked","train-train","T6_C3",34,13,75.6,41.1,41.1,"not equal","equal","15141C_T6_C3_2","15141C","WT","trained_trained","2015","trained","train-train","T6_C3",12,12,6,3.13,3.13,"equal","equal"
"15148D_T1_1","15148C_T1_1","15148D","WT","yoked_conflict","2015","yoked","train-conflict","T1",34,16,55.166,11.07,11.07,"not equal","equal","15148C_T1_1","15148C","WT","trained_conflict","2015","trained","train-conflict","T1",7,7,6.666,0.87,0.87,"equal","equal"
"16-122D_T6_C3_2","16-122C_T6_C3_2","16-122D","WT","yoked_conflict","2016","yoked","train-conflict","T6_C3",34,13,64.164,4.2,4.2,"not equal","equal","16-122C_T6_C3_2","16-122C","WT","trained_conflict","2016","trained","train-conflict","T6_C3",3,3,2.401,79.53,79.53,"equal","equal"
"16-116D_T4_C1_2","16-116C_T4_C1_2","16-116D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","T4_C1",34,14,63.132,4.33,4.33,"not equal","equal","16-116C_T4_C1_2","16-116C","FMR1-KO","trained_conflict","2016","trained","train-conflict","T4_C1",17,16,18.464,0.53,0.53,"not equal","equal"
"15143B_T4_C1_2","15143A_T4_C1_2","15143B","WT","yoked_conflict","2015","yoked","train-conflict","T4_C1",35,12,66.133,44.8,44.8,"not equal","equal","15143A_T4_C1_2","15143A","WT","trained_conflict","2015","trained","train-conflict","T4_C1",14,12,16.098,0.5,0.5,"not equal","equal"
"16-123B_T3_1","16-123A_T3_1","16-123B","WT","yoked_trained","2016","yoked","train-train","T3",35,15,67.567,35.6,35.6,"not equal","equal","16-123A_T3_1","16-123A","WT","trained_trained","2016","trained","train-train","T3",8,7,9.033,90.07,90.07,"not equal","equal"
"16-121A_T3_1","16-121B_T3_1","16-121A","FMR1-KO","yoked_trained","2016","yoked","train-train","T3",35,11,65.596,42,42,"not equal","equal","16-121B_T3_1","16-121B","FMR1-KO","trained_trained","2016","trained","train-train","T3",4,4,3.433,82.53,82.53,"equal","equal"
"16-120D_Retest_2","16-120C_Retest_2","16-120D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","Retest",35,12,64.532,36.9,36.9,"not equal","equal","16-120C_Retest_2","16-120C","FMR1-KO","trained_conflict","2016","trained","train-conflict","Retest",2,2,1.634,380.9,380.9,"equal","equal"
"15141D_T5_C2_2","15141C_T5_C2_2","15141D","WT","yoked_trained","2015","yoked","train-train","T5_C2",36,16,69.502,28.77,28.77,"not equal","equal","15141C_T5_C2_2","15141C","WT","trained_trained","2015","trained","train-train","T5_C2",7,7,3.901,0.33,0.33,"equal","equal"
"15145B_Retention_3","15145A_Retention_3","15145B","WT","yoked_conflict","2015","yoked","train-conflict","Retention",36,14,68.462,20.17,20.17,"not equal","equal","15145A_Retention_3","15145A","WT","trained_conflict","2015","trained","train-conflict","Retention",0,0,0,600,600,"equal","equal"
"16-123D_T2_1","16-123C_T2_1","16-123D","WT","yoked_conflict","2016","yoked","train-conflict","T2",36,14,65.331,2.57,2.57,"not equal","equal","16-123C_T2_1","16-123C","WT","trained_conflict","2016","trained","train-conflict","T2",10,10,8.765,0.87,0.87,"equal","equal"
"16-123D_Retention_5","16-123C_Retention_5","16-123D","WT","yoked_conflict","2016","yoked","train-conflict","Retention",36,12,75.467,16.63,16.63,"not equal","equal","16-123C_Retention_5","16-123C","WT","trained_conflict","2016","trained","train-conflict","Retention",1,1,0.9,248.2,248.2,"equal","equal"
